AF3; T7; Pz; T8; AF4; Tempo
4304.10256425;4791.92307811;4399.61538497;4235.25641026;4400.76923112;2022-01-21 11:46:44.898583
4301.79487194;4798.84615503;4405.25641061;4237.69230770;4431.79487222;2022-01-21 11:46:44.905561
4304.23076937;4766.53846265;4403.58974394;4142.69230749;4434.48717991;2022-01-21 11:46:44.914541
4306.41025655;4765.51282163;4401.28205163;4172.82051269;4431.92307734;2022-01-21 11:46:44.931493
4302.43589758;4824.61538587;4398.20512856;4172.69230756;4403.20512856;2022-01-21 11:46:44.932489
4304.23076937;4799.74359093;4371.28205156;4207.17948711;4402.30769266;2022-01-21 11:46:44.939470
4306.15384630;4792.05128324;4340.00000021;4336.53846175;4400.12820548;2022-01-21 11:46:44.946465
4306.02564117;4767.05128317;4368.58974387;4370.25641054;4398.84615420;2022-01-21 11:46:44.954430
4299.74358989;4793.84615503;4371.66666695;4266.79487187;4371.53846182;2022-01-21 11:46:44.965404
4302.69230784;4797.94871913;4371.41025669;4237.30769231;4371.92307720;2022-01-21 11:46:44.972431
4302.82051296;4791.92307811;4369.74359003;4336.41025662;4370.38461567;2022-01-21 11:46:44.982356
4303.20512835;4733.97436002;4397.94871830;4303.20512835;4372.17948746;2022-01-21 11:46:44.983388
4301.15384630;4794.23077042;4400.76923112;4238.46153847;4399.23076958;2022-01-21 11:46:44.995333
4304.35897450;4828.84615510;4400.76923112;4270.12820520;4402.43589779;2022-01-21 11:46:45.000308
4302.43589758;4792.82051401;4405.25641061;4266.66666674;4433.84615427;2022-01-21 11:46:45.013274
4274.74358982;4765.38461650;4403.46153881;4170.76923063;4432.94871837;2022-01-21 11:46:45.014297
4273.33333341;4797.69230888;4400.12820548;4170.64102551;4402.56410292;2022-01-21 11:46:45.025247
4273.33333341;4797.56410375;4401.66666702;4139.61538441;4402.05128240;2022-01-21 11:46:45.034218
4271.66666674;4766.53846265;4405.00000035;4169.99999986;4431.41025683;2022-01-21 11:46:45.045232
4271.79487187;4792.17948836;4371.79487208;4335.12820534;4369.48717977;2022-01-21 11:46:45.047185
4301.53846168;4792.56410375;4403.58974394;4339.48717970;4400.38461574;2022-01-21 11:46:45.057161
4303.46153860;4791.92307811;4437.43589786;4170.12820499;4436.02564145;2022-01-21 11:46:45.066175
4302.17948732;4766.66666778;4435.51282093;4172.82051269;4433.58974401;2022-01-21 11:46:45.079107
4302.30769245;4793.20512939;4402.56410292;4205.25641019;4401.66666702;2022-01-21 11:46:45.081098
4306.41025655;4797.05128324;4402.17948753;4202.30769224;4405.64102599;2022-01-21 11:46:45.086079
4303.58974373;4792.17948836;4370.51282079;4305.12820527;4401.53846189;2022-01-21 11:46:45.101039
4301.28205142;4764.61538573;4367.56410285;4339.48717970;4372.69230797;2022-01-21 11:46:45.101039
4299.61538476;4766.79487291;4368.33333362;4305.12820527;4402.56410292;2022-01-21 11:46:45.114005
4303.71794886;4796.53846272;4367.94871823;4333.84615406;4403.20512856;2022-01-21 11:46:45.116002
4300.76923091;4825.89743715;4371.02564131;4238.84615385;4401.92307727;2022-01-21 11:46:45.122980
4304.10256425;4826.53846279;4373.07692336;4135.38461518;4400.25641061;2022-01-21 11:46:45.131958
4302.56410271;4762.82051394;4398.97435933;4268.97435905;4399.10256445;2022-01-21 11:46:45.147916
4302.69230784;4759.10256522;4398.71794907;4369.35897464;4398.84615420;2022-01-21 11:46:45.148495
4300.89743604;4797.30769349;4400.51282086;4301.79487194;4399.48717984;2022-01-21 11:46:45.160475
4301.15384630;4797.05128324;4372.17948746;4268.46153853;4372.69230797;2022-01-21 11:46:45.167498
4302.05128219;4733.20512925;4372.94871823;4302.94871809;4372.94871823;2022-01-21 11:46:45.177428
4300.38461553;4766.92307804;4372.69230797;4272.69230777;4370.25641054;2022-01-21 11:46:45.179421
4303.46153860;4829.74359100;4399.23076958;4268.84615392;4398.58974394;2022-01-21 11:46:45.197369
4301.92307707;4766.66666778;4398.71794907;4241.79487180;4402.05128240;2022-01-21 11:46:45.197369
4301.66666681;4759.48718060;4401.15384651;4237.43589744;4405.12820548;2022-01-21 11:46:45.208338
4300.64102578;4796.92307811;4401.28205163;4171.41025628;4402.05128240;2022-01-21 11:46:45.211352
4303.20512835;4794.35897554;4401.02564138;4171.53846140;4404.10256445;2022-01-21 11:46:45.222334
4274.23076930;4760.51282163;4398.20512856;4241.41025641;4399.74359009;2022-01-21 11:46:45.223297
4270.64102571;4793.33333452;4400.51282086;4239.23076923;4398.58974394;2022-01-21 11:46:45.234271
4271.79487187;4798.20512939;4398.07692343;4270.64102571;4371.28205156;2022-01-21 11:46:45.244252
4274.48717956;4793.07692426;4371.79487208;4367.05128233;4368.20512849;2022-01-21 11:46:45.250225
4299.74358989;4761.02564214;4431.28205170;4267.30769238;4404.23076958;2022-01-21 11:46:45.257207
