AF3; T7; Pz; T8; AF4; Tempo
4304.23076937;4761.41025753;4299.74358989;4470.89743639;4372.43589772;2022-01-21 12:14:30.977994
4301.53846168;4733.97436002;4300.76923091;4498.33333389;4366.79487208;2022-01-21 12:14:30.979001
4272.43589751;4796.15384734;4302.17948732;4498.46153902;4340.38461560;2022-01-21 12:14:30.980001
4272.94871802;4831.53846279;4273.46153853;4497.56410312;4368.07692336;2022-01-21 12:14:30.980001
4272.56410264;4794.23077042;4271.79487187;4497.56410312;4371.41025669;2022-01-21 12:14:30.980995
4271.92307700;4733.58974464;4240.64102564;4467.56410305;4369.87179515;2022-01-21 12:14:30.981994
4272.94871802;4765.89743701;4270.25641033;4468.84615434;4371.28205156;2022-01-21 12:14:30.982992
4271.92307700;4798.84615503;4274.35897443;4470.51282100;4369.61538490;2022-01-21 12:14:30.982992
4273.71794879;4761.92307804;4299.61538476;4470.38461587;4368.58974387;2022-01-21 12:14:30.983988
4299.48717963;4728.20512925;4300.51282066;4468.20512870;4367.94871823;2022-01-21 12:14:30.984996
4300.38461553;4761.41025753;4272.69230777;4467.56410305;4368.20512849;2022-01-21 12:14:30.984996
4302.17948732;4761.92307804;4238.97435898;4469.10256459;4337.56410278;2022-01-21 12:14:30.985980
4300.64102578;4727.94871899;4267.94871802;4469.23076972;4336.53846175;2022-01-21 12:14:30.985980
4302.56410271;4729.74359079;4301.02564117;4470.25641075;4335.51282073;2022-01-21 12:14:30.986975
4332.94871816;4766.15384727;4272.94871802;4468.07692357;4334.87179508;2022-01-21 12:14:30.987976
4332.43589765;4792.69230888;4269.48717956;4466.02564152;4335.89743611;2022-01-21 12:14:30.987976
4307.43589758;4762.30769342;4269.35897443;4466.53846203;4337.82051303;2022-01-21 12:14:30.988962
4305.51282066;4733.07692412;4268.97435905;4470.12820562;4338.84615406;2022-01-21 12:14:30.988962
4335.38461560;4763.58974471;4272.17948725;4464.23076972;4340.00000021;2022-01-21 12:14:30.989919
4302.30769245;4798.46153965;4303.58974373;4469.48717998;4368.71794900;2022-01-21 12:14:30.989919
4301.79487194;4828.71794997;4273.97435905;4497.94871851;4366.66666695;2022-01-21 12:14:30.991915
4305.25641040;4792.17948836;4269.35897443;4400.00000035;4372.82051310;2022-01-21 12:14:30.991915
4335.64102585;4759.23077035;4270.76923084;4334.61538483;4399.61538497;2022-01-21 12:14:30.997446
4334.10256431;4764.23077035;4299.61538476;4300.51282066;4400.00000035;2022-01-21 12:14:30.998446
4332.43589765;4798.97436016;4272.43589751;4208.58974352;4372.56410285;2022-01-21 12:14:31.013556
4333.97435919;4792.82051401;4303.46153860;4240.51282052;4400.89743625;2022-01-21 12:14:31.024047
4303.20512835;4730.89743694;4270.64102571;4239.10256411;4400.00000035;2022-01-21 12:14:31.029071
4302.82051296;4760.12820624;4268.46153853;4236.15384616;4400.76923112;2022-01-21 12:14:31.040458
4272.43589751;4764.35897547;4338.20512842;4497.56410312;4372.05128233;2022-01-21 12:14:31.041455
4271.66666674;4758.97436009;4338.97435919;4601.41025718;4368.33333362;2022-01-21 12:14:31.053459
4272.05128212;4759.35897547;4241.02564103;4269.35897443;4371.66666695;2022-01-21 12:14:31.055011
4273.33333341;4792.56410375;4240.00000000;4142.43589723;4399.35897471;2022-01-21 12:14:31.065982
4272.30769238;4793.20512939;4300.25641040;4401.53846189;4371.15384644;2022-01-21 12:14:31.067252
4271.79487187;4791.92307811;4238.71794872;4372.17948746;4367.05128233;2022-01-21 12:14:31.082212
4273.46153853;4792.94871913;4234.87179488;4368.33333362;4368.07692336;2022-01-21 12:14:31.085236
4272.43589751;4794.23077042;4241.41025641;4533.46153909;4365.64102592;2022-01-21 12:14:31.099167
4272.17948725;4793.20512939;4268.58974366;4400.00000035;4366.66666695;2022-01-21 12:14:31.104193
4274.10256418;4766.66666778;4273.33333341;4110.64102537;4371.79487208;2022-01-21 12:14:31.114916
4274.35897443;4760.76923188;4273.97435905;4266.92307700;4398.97435933;2022-01-21 12:14:31.117909
4306.79487194;4764.61538573;4237.94871795;4400.89743625;4340.12820534;2022-01-21 12:14:31.135863
4306.53846168;4763.97436009;4239.10256411;4370.25641054;4367.17948746;2022-01-21 12:14:31.136908
4303.58974373;4760.12820624;4267.43589751;4403.58974394;4370.89743618;2022-01-21 12:14:31.147863
4306.28205142;4759.87179599;4268.58974366;4470.64102613;4369.48717977;2022-01-21 12:14:31.153816
4335.25641047;4759.61538573;4238.33333334;4433.20512863;4334.10256431;2022-01-21 12:14:31.154843
4332.94871816;4730.64102669;4272.05128212;4404.87179522;4338.07692329;2022-01-21 12:14:31.165820
4303.97435912;4727.43589848;4272.94871802;4436.92307734;4370.12820541;2022-01-21 12:14:31.170768
4339.74358996;4758.97436009;4273.84615392;4434.74359016;4372.56410285;2022-01-21 12:14:31.183615
4335.00000021;4758.97436009;4336.28205149;4470.64102613;4371.28205156;2022-01-21 12:14:31.185610
4333.71794893;4762.69230881;4338.97435919;4497.56410312;4371.02564131;2022-01-21 12:14:31.201575
4304.35897450;4795.89743708;4335.25641047;4501.92307748;4398.46153881;2022-01-21 12:14:31.208516
4305.12820527;4799.10256529;4306.92307707;4497.56410312;4369.23076951;2022-01-21 12:14:31.216348
4274.35897443;4762.05128317;4335.00000021;4503.07692364;4368.07692336;2022-01-21 12:14:31.222336
4271.66666674;4759.23077035;4273.07692315;4471.02564152;4369.87179515;2022-01-21 12:14:31.230315
4272.94871802;4798.20512939;4301.53846168;4466.28205177;4371.41025669;2022-01-21 12:14:31.236351
4272.30769238;4826.41025766;4335.38461560;4562.82051352;4366.15384644;2022-01-21 12:14:31.246364
4273.20512828;4759.35897547;4273.33333341;4435.64102606;4367.94871823;2022-01-21 12:14:31.253311
4271.66666674;4730.00000105;4236.02564103;4173.97435884;4372.94871823;2022-01-21 12:14:31.265043
4273.20512828;4762.43589855;4269.61538469;4234.23076923;4397.94871830;2022-01-21 12:14:31.267042
4272.69230777;4761.53846265;4240.38461539;4369.23076951;4370.51282079;2022-01-21 12:14:31.277023
4272.43589751;4765.64102676;4234.61538462;4369.35897464;4370.51282079;2022-01-21 12:14:31.286986
4273.07692315;4797.05128324;4274.35897443;4434.61538504;4366.02564131;2022-01-21 12:14:31.292011
4271.79487187;4765.38461650;4305.89743604;4531.28205191;4339.48717970;2022-01-21 12:14:31.302942
4273.07692315;4732.82051387;4268.84615392;4469.61538511;4338.97435919;2022-01-21 12:14:31.309977
4273.46153853;4764.23077035;4268.20512828;4464.74359023;4338.84615406;2022-01-21 12:14:31.315921
4300.76923091;4792.17948836;4272.69230777;4496.92307748;4336.15384637;2022-01-21 12:14:31.321892
4303.46153860;4760.12820624;4271.15384623;4465.76923126;4334.48717970;2022-01-21 12:14:31.332862
4303.71794886;4732.30769335;4270.00000007;4467.05128254;4334.87179508;2022-01-21 12:14:31.342842
4340.00000021;4792.17948836;4269.10256418;4437.43589786;4336.53846175;2022-01-21 12:14:31.347822
4337.30769252;4792.17948836;4304.74358989;4469.87179536;4366.92307720;2022-01-21 12:14:31.353818
4333.71794893;4762.56410368;4332.56410278;4470.76923126;4367.82051310;2022-01-21 12:14:31.365289
4334.35897457;4795.64102683;4335.51282073;4467.43589793;4368.84615413;2022-01-21 12:14:31.368280
4338.58974380;4798.97436016;4335.51282073;4468.58974408;4367.94871823;2022-01-21 12:14:31.379251
4304.23076937;4729.74359079;4332.94871816;4470.89743639;4371.28205156;2022-01-21 12:14:31.382243
4301.41025655;4731.79487284;4303.46153860;4466.79487229;4367.05128233;2022-01-21 12:14:31.399197
4306.41025655;4796.28205247;4302.30769245;4468.58974408;4368.97435926;2022-01-21 12:14:31.400195
4301.02564117;4765.00000112;4237.94871795;4438.07692350;4369.74359003;2022-01-21 12:14:31.417157
4303.97435912;4729.10256515;4235.64102564;4434.10256452;4371.41025669;2022-01-21 12:14:31.417157
4305.00000014;4700.12820610;4272.30769238;4496.79487235;4370.00000028;2022-01-21 12:14:31.426162
4306.53846168;4734.23077028;4273.71794879;4500.25641082;4369.74359003;2022-01-21 12:14:31.434105
4273.20512828;4795.64102683;4270.12820520;4469.87179536;4367.94871823;2022-01-21 12:14:31.442084
