AF3; T7; Pz; T8; AF4; Tempo
4305.25641040;4798.84615503;4405.51282086;4201.79487173;4434.87179529;2022-01-21 11:37:53.629907
4332.43589765;4829.74359100;4431.02564145;4203.97435891;4436.92307734;2022-01-21 11:37:53.629907
4304.61538476;4795.12820631;4432.17948760;4176.15384602;4437.94871837;2022-01-21 11:37:53.629907
4305.38461553;4794.87179606;4368.71794900;4337.17948739;4404.23076958;2022-01-21 11:37:53.630906
4305.00000014;4795.89743708;4371.28205156;4402.17948753;4431.53846196;2022-01-21 11:37:53.630906
4273.20512828;4766.28205240;4372.43589772;4398.33333368;4432.43589786;2022-01-21 11:37:53.630906
4303.07692322;4761.15384727;4372.43589772;4399.61538497;4431.66666709;2022-01-21 11:37:53.631903
4274.48717956;4792.17948836;4373.07692336;4365.12820541;4434.23076965;2022-01-21 11:37:53.631903
4302.05128219;4829.87179613;4372.82051310;4273.58974366;4434.48717991;2022-01-21 11:37:53.631903
4274.74358982;4796.79487298;4400.51282086;4302.82051296;4405.51282086;2022-01-21 11:37:53.631903
4300.12820527;4734.23077028;4400.64102599;4267.82051289;4400.89743625;2022-01-21 11:37:53.632934
4274.10256418;4792.05128324;4370.89743618;4371.28205156;4398.33333368;2022-01-21 11:37:53.632934
4273.07692315;4826.15384741;4368.58974387;4467.82051331;4372.05128233;2022-01-21 11:37:53.632934
4272.30769238;4765.12820624;4402.05128240;4398.84615420;4402.30769266;2022-01-21 11:37:53.632934
4273.20512828;4762.05128317;4402.05128240;4335.64102585;4400.64102599;2022-01-21 11:37:53.633933
4271.92307700;4799.23077042;4402.30769266;4339.74358996;4402.69230804;2022-01-21 11:37:53.633933
4272.56410264;4824.61538587;4399.23076958;4271.66666674;4402.69230804;2022-01-21 11:37:53.633933
4303.58974373;4764.74359086;4398.71794907;4305.51282066;4403.58974394;2022-01-21 11:37:53.634894
4301.79487194;4792.17948836;4367.43589772;4431.15384657;4397.94871830;2022-01-21 11:37:53.634894
4271.92307700;4799.48718067;4369.10256438;4431.15384657;4401.28205163;2022-01-21 11:37:53.634894
4273.71794879;4796.41025760;4365.64102592;4400.00000035;4399.23076958;2022-01-21 11:37:53.635891
4304.10256425;4792.56410375;4339.48717970;4400.89743625;4399.48717984;2022-01-21 11:37:53.635891
4300.12820527;4792.56410375;4340.12820534;4398.71794907;4400.89743625;2022-01-21 11:37:53.635891
4302.43589758;4794.48718067;4369.87179515;4399.61538497;4405.64102599;2022-01-21 11:37:53.635891
4299.74358989;4792.82051401;4372.05128233;4401.28205163;4432.17948760;2022-01-21 11:37:53.636888
4303.20512835;4762.94871906;4368.71794900;4367.43589772;4406.02564138;2022-01-21 11:37:53.636888
4273.58974366;4762.94871906;4371.28205156;4402.30769266;4433.71794914;2022-01-21 11:37:53.636888
4301.79487194;4799.74359093;4371.15384644;4433.33333375;4431.53846196;2022-01-21 11:37:53.637887
4273.97435905;4824.87179613;4370.25641054;4430.76923119;4431.41025683;2022-01-21 11:37:53.638883
4271.41025648;4793.84615503;4368.07692336;4405.89743625;4431.15384657;2022-01-21 11:37:53.638883
4273.84615392;4793.33333452;4372.82051310;4403.84615420;4431.79487222;2022-01-21 11:37:53.638883
4273.33333341;4798.58974477;4372.30769259;4305.89743604;4401.15384651;2022-01-21 11:37:53.638883
4272.56410264;4792.69230888;4371.79487208;4371.53846182;4399.35897471;2022-01-21 11:37:53.639958
4271.15384623;4759.61538573;4370.25641054;4471.41025690;4371.79487208;2022-01-21 11:37:53.639958
4273.46153853;4766.41025753;4399.48717984;4430.89743632;4398.58974394;2022-01-21 11:37:53.641009
4272.82051289;4828.07692433;4368.97435926;4467.43589793;4370.12820541;2022-01-21 11:37:53.641009
4273.84615392;4799.74359093;4371.66666695;4497.94871851;4399.74359009;2022-01-21 11:37:53.641009
4300.89743604;4792.05128324;4400.64102599;4236.02564103;4405.76923112;2022-01-21 11:37:53.642013
4307.17948732;4792.17948836;4402.56410292;4109.35897408;4433.58974401;2022-01-21 11:37:53.642013
4305.38461553;4764.87179599;4371.28205156;4306.41025655;4401.79487215;2022-01-21 11:37:53.642013
4304.10256425;4792.82051401;4369.48717977;4370.38461567;4400.00000035;2022-01-21 11:37:53.642953
4301.41025655;4791.79487298;4372.43589772;4241.15384616;4405.12820548;2022-01-21 11:37:53.642953
4305.89743604;4761.15384727;4370.51282079;4240.38461539;4431.53846196;2022-01-21 11:37:53.642953
4300.51282066;4794.23077042;4398.97435933;4307.17948732;4436.53846196;2022-01-21 11:37:53.642953
4303.07692322;4826.92307818;4399.48717984;4336.28205149;4437.17948760;2022-01-21 11:37:53.643986
4299.74358989;4763.33333445;4400.76923112;4332.82051303;4438.33333375;2022-01-21 11:37:53.643986
4301.02564117;4764.35897547;4372.05128233;4274.10256418;4432.56410298;2022-01-21 11:37:53.643986
4302.05128219;4827.17948843;4399.74359009;4303.97435912;4436.53846196;2022-01-21 11:37:53.644984
4272.82051289;4799.61538580;4398.20512856;4333.58974380;4436.66666709;2022-01-21 11:37:53.644984
4274.61538469;4762.43589855;4398.33333368;4332.30769252;4432.05128247;2022-01-21 11:37:53.644984
4272.56410264;4761.92307804;4399.10256445;4140.38461518;4401.92307727;2022-01-21 11:37:53.644984
4273.33333341;4795.25641144;4402.05128240;4172.56410243;4404.10256445;2022-01-21 11:37:53.645983
4271.15384623;4797.43589862;4371.79487208;4405.25641061;4398.07692343;2022-01-21 11:37:53.645983
4272.69230777;4794.10256529;4372.94871823;4438.20512863;4372.17948746;2022-01-21 11:37:53.646943
